Element	# of Mineral-locality occurrences	# of Mineral-locality occurrences with age	# of localities with this element	# of localities with this element and age
H	204514	61062	70585	13361
He				
Li	3546	1576	2038	728
Be	7764	2307	5568	1352
B	7776	2159	5378	1295
C	94677	22781	50095	9655
N	1262	351	775	172
O	522507	134864	129772	21761
F	21324	6657	15434	3775
Ne				
Na	41359	13007	21765	4881
Mg	63879	15863	32327	6620
Al	130904	33098	52588	10330
Si	237068	56442	92263	16065
P	25043	8436	11496	2936
S	261471	70657	74854	14017
Cl	12079	4185	7892	2222
Ar				
K	42695	11440	29542	6453
Ca	145892	36815	62246	11368
Sc	183	61	145	43
Ti	24169	6721	14423	3305
V	5783	1705	3408	884
Cr	5374	1376	4722	1120
Mn	20629	6311	9770	2493
Fe	228020	56693	80436	14739
Co	4537	2588	2582	1335
Ni	10369	3911	5025	1595
Cu	111412	35705	40548	9490
Zn	38636	10839	25748	6091
Ga	13	12	8	7
Ge	201	107	138	65
As	35614	14498	16021	4664
Se	1824	960	828	370
Br	271	97	261	88
Kr				
Rb	9	6	7	4
Sr	3392	1042	2634	651
Y	3657	1168	2320	650
Zr	6820	2177	5726	1484
Nb	3198	1251	2057	677
Mo	8915	2978	7695	2429
Tc				
Ru	369	81	273	62
Rh	255	58	178	45
Pd	1437	683	425	184
Ag	20122	7320	10027	3166
Cd	903	307	824	253
In	144	58	115	46
Sn	7178	1905	5861	1385
Sb	23022	7201	11214	2984
Te	6330	2853	2320	870
I	303	159	255	126
Xe				
Cs	206	98	179	82
Ba	15014	3917	12942	2905
La	376	201	307	154
Ce	4518	1862	2715	893
Pr				
Nd	141	69	124	58
Pm				
Sm	5	1	5	1
Eu				
Gd	1	1	1	1
Tb				
Dy	4	1	4	1
Ho				
Er	8	5	8	5
Tm				
Yb	17	11	14	8
Lu				
Hf	11	5	11	5
Ta	1511	586	1065	347
W	6570	1532	5673	1218
Re	14	11	14	11
Os	356	57	257	46
Ir	524	103	329	73
Pt	1736	488	891	217
Au	32281	6226	30800	5616
Hg	4202	1389	3051	773
Tl	218	143	97	52
Pb	55404	16971	28709	6728
Bi	11682	4825	5041	1821
Po				
At				
Rn				
Fr				
Ra				
Ac				
Th	2156	659	1774	497
Pa				
U	14444	5438	6579	1694
Np				
Pu				
