Ahrensite,Ahrensite
Brunogeierite,Brunogeierite
Chromite,Chihmingite
Cochromite,Chromite
Coulsonite,Chukochenite
Cuprospinel,Cochromite
Dellagiustaite,Coulsonite
Deltalumite,Cuprospinel
Filipstadite,Dellagiustaite
Franklinite,Deltalumite
Gahnite,Filipstadite
Galaxite,Franklinite
Guite,Gahnite
Hausmannite,Galaxite
Hercynite,Guite
Hetaerolite,Hausmannite
Jacobsite,Hercynite
Maghemite,Hetaerolite
Magnesiochromite,Jacobsite
Magnesiocoulsonite,Maghemite
Magnesioferrite,Magnesiochromite
Magnetite,Magnesiocoulsonite
Manganochromite,Magnesioferrite
Qandilite,Magnetite
Ringwoodite,Manganochromite
Spinel,Qandilite
Tegengrenite,Ringwoodite
Thermaerogenite,Spinel
Titanomaghemite,Tegengrenite
Trevorite,Thermaerogenite
Vuorelainenite,Titanomaghemite
Zincochromite,Trevorite
,Ulvöspinel
,Vuorelainenite
,Zincochromite
